City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Chachapoyas,PE,2022-25-09/19/22 15:25:49,-6.2317,-77.869,65.64,61,87,2.28
177,Topeka,US,2022-21-09/19/22 15:21:50,39.0483,-95.678,86.49,58,0,11.5
178,San Felipe,VE,2022-25-09/19/22 15:25:51,10.3399,-68.7425,92.1,43,37,2.42
179,Ust-Ishim,RU,2022-25-09/19/22 15:25:51,57.6935,71.1665,58.41,73,99,1.14
180,Datong,CN,2022-25-09/19/22 15:25:52,40.0936,113.2914,53.22,55,97,1.99
181,Jamestown,US,2022-25-09/19/22 15:25:27,42.097,-79.2353,65.01,75,100,9.22
182,Farafangana,MG,2022-25-09/19/22 15:25:53,-22.8167,47.8333,71.11,79,0,9.82
183,Alberton,CA,2022-25-09/19/22 15:25:53,46.8168,-64.0654,59.13,54,3,10.45
184,Sur,OM,2022-25-09/19/22 15:25:53,22.5667,59.5289,84.81,66,0,11.88
185,Dunedin,NZ,2022-26-09/19/22 15:26:54,-45.8742,170.5036,50.81,69,79,1.99
186,East London,ZA,2022-25-09/19/22 15:25:59,-33.0153,27.9116,58.14,88,20,10.36
187,Upernavik,GL,2022-26-09/19/22 15:26:55,72.7868,-56.1549,34.0,77,100,7.61
188,Moundou,TD,2022-26-09/19/22 15:26:55,8.5667,16.0833,91.63,79,20,4.61
189,Saskylakh,RU,2022-26-09/19/22 15:26:56,71.9167,114.0833,28.67,97,87,9.06
190,Port Hardy,CA,2022-22-09/19/22 15:22:54,50.6996,-127.4199,51.98,93,100,4.61
191,Las Vegas,US,2022-24-09/19/22 15:24:56,36.175,-115.1372,79.68,23,0,5.75
192,Vilhena,BR,2022-26-09/19/22 15:26:57,-12.7406,-60.1458,86.22,58,20,12.66
193,Manta,EC,2022-26-09/19/22 15:26:57,-0.95,-80.7333,74.98,83,100,6.91
194,Korla,CN,2022-26-09/19/22 15:26:58,41.7597,86.1469,74.79,17,1,5.48
195,Micheweni,TZ,2022-26-09/19/22 15:26:58,-4.9667,39.8333,77.4,78,45,11.36
196,Tiksi,RU,2022-26-09/19/22 15:26:59,71.6872,128.8694,34.18,99,100,17.92
197,Mahebourg,MU,2022-26-09/19/22 15:26:59,-20.4081,57.7,72.25,78,75,10.36
